insertCollisions, searchCollisions
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
4,4
5,8
5,8
6,9
6,11
7,13
9,16
11,19
13,22
16,25
17,27
19,31
19,31
24,37
28,42
30,46
31,48
36,54
36,57
38,61
43,69
44,74
50,80
54,86
58,92
63,99
64,100
67,103
70,109
77,116
80,122
87,131
92,138
97,146
100,150
108,158
115,165
118,170
125,179
130,189
138,198
145,210
151,221
156,228
161,236
166,247
174,262
182,271
191,281
200,296
207,308
216,323
222,333
226,340
229,346
239,362
252,376
262,391
268,401
279,417
289,430
295,439
303,452
308,464
314,478
324,492
326,498
335,510
340,518
347,530
355,544
365,563
377,582
384,595
395,611
405,625
414,641
427,663
435,683
446,699
459,717
468,733
476,744
486,762
494,773
500,786
507,801
517,816
526,830
535,846
545,862
555,877
564,891
575,908
590,927
600,943
609,956
619,972
629,990
638,1001
651,1020
665,1039
676,1058
682,1070
691,1086
702,1104
711,1117
728,1138
738,1154
753,1178
764,1200
775,1219
792,1245
801,1267
808,1283
823,1305
833,1325
844,1343
856,1366
869,1384
878,1397
895,1423
901,1438
913,1460
931,1481
940,1500
958,1530
970,1545
985,1568
997,1588
1013,1613
1028,1636
1046,1664
1061,1686
1073,1707
1090,1738
1096,1753
1112,1782
1126,1803
1141,1827
1162,1859
1171,1883
1191,1914
1208,1939
1223,1971
1239,1994
1253,2014
1267,2038
1287,2072
1315,2107
1328,2133
1341,2155
1362,2184
1376,2214
1390,2237
1410,2274
1425,2300
1441,2331
1455,2354
1467,2372
1480,2397
1493,2420
1508,2443
1522,2467
1544,2503
1564,2537
1584,2567
1604,2605
1622,2632
1641,2662
1655,2684
1674,2715
1694,2752
1713,2779
1733,2813
1749,2848
1763,2876
1779,2906
1793,2940
1804,2966
1826,2998
1838,3021
1855,3058
1873,3087
1889,3115
1908,3152
1930,3188
1951,3226
1960,3245
1980,3280
2004,3316
2015,3347
2034,3380
2057,3420
2069,3442
2086,3476
2104,3505
2120,3534
2137,3567
2150,3591
2164,3625
2189,3663
2211,3701
2229,3741
2240,3764
2256,3796
2277,3835
2297,3865
2317,3901
2335,3931
2360,3971
2374,3999
2391,4035
2410,4073
2424,4102
2449,4139
2472,4173
2490,4206
2509,4244
2523,4280
2542,4308
2563,4348
2579,4384
2594,4406
2609,4435
2630,4487
2648,4516
2661,4550
2677,4579
2700,4623
2722,4657
2733,4680
2751,4723
2776,4767
2796,4804
2816,4843
2843,4891
2867,4932
2885,4969
2902,5002
2913,5031
2931,5064
2942,5097
2951,5124
2972,5163
2992,5206
3002,5228
3018,5270
3038,5306
3056,5340
3080,5375
3098,5409
3123,5452
3147,5494
3168,5538
3194,5580
3220,5627
3240,5662
3259,5698
3279,5738
3293,5770
3318,5814
3333,5867
3362,5910
3388,5953
3406,5994
3431,6030
3452,6063
3469,6093
3498,6149
3513,6186
3528,6219
3546,6258
3561,6294
3572,6326
3594,6360
3613,6401
3637,6448
3660,6494
3682,6538
3702,6580
3730,6630
3748,6676
3774,6713
3788,6748
3814,6797
3838,6836
3860,6877
3882,6914
3901,6959
3923,7000
3936,7035
3960,7087
3981,7131
3992,7165
4008,7209
4025,7240
4046,7288
4063,7325
4084,7367
4103,7408
4128,7449
4152,7494
4178,7538
4193,7573
4219,7619
4244,7673
4264,7713
4290,7762
4312,7810
4332,7850
4351,7889
4374,7941
4399,7993
4421,8032
4445,8075
4463,8119
4486,8164
4505,8206
4526,8249
4550,8303
4573,8354
4589,8395
4614,8445
4636,8496
4657,8545
4686,8594
4706,8635
4725,8668
4744,8712
4769,8761
4795,8816
4829,8872
4847,8918
4865,8961
4889,9011
4913,9065
4930,9105
4960,9167
4978,9213
5009,9261
5029,9308
5048,9361
5071,9414
5098,9461
5122,9511
5148,9560
5175,9614
5201,9666
5222,9710
5257,9774
5277,9815
5304,9861
5330,9905
5357,9953
5388,10006
5407,10052
5429,10108
5449,10154
5471,10207
5493,10264
5515,10317
5535,10358
5556,10410
5579,10455
5609,10509
5637,10565
5657,10621
5675,10669
5698,10718
5720,10770
5745,10822
5765,10867
5793,10923
5818,10968
5842,11018
5863,11069
5889,11127
5908,11177
5928,11228
5953,11284
5977,11339
5999,11383
6027,11434
6042,11481
6062,11520
6079,11568
6114,11631
6143,11691
6169,11742
6192,11795
6214,11844
