insertCollisions, searchCollisions
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
2,2
2,2
2,2
5,5
6,7
7,8
8,9
8,9
9,10
13,14
18,19
20,21
21,22
21,22
28,29
34,35
41,42
44,46
47,49
52,55
59,64
69,74
78,83
84,90
91,98
100,107
108,116
117,127
123,133
132,142
142,153
150,163
158,172
169,184
179,194
199,214
212,228
230,247
248,266
265,286
277,302
295,321
315,342
334,362
353,385
378,410
397,433
414,451
434,472
456,495
478,522
501,547
528,574
550,597
576,626
603,658
620,677
649,711
678,746
708,780
734,810
758,838
780,867
809,898
836,928
863,960
884,991
905,1015
937,1050
972,1091
1000,1126
1029,1160
1058,1195
1081,1226
1107,1258
1136,1292
1165,1327
1193,1359
1225,1394
1266,1443
1292,1475
1320,1507
1348,1543
1379,1583
1398,1606
1421,1635
1459,1676
1496,1719
1530,1759
1551,1788
1581,1829
1607,1860
1632,1895
1671,1940
1704,1978
1738,2017
1771,2058
1801,2099
1836,2144
1864,2178
1897,2220
1930,2262
1959,2301
1989,2341
2020,2377
2046,2411
2076,2448
2105,2488
2129,2522
2155,2560
2187,2601
2218,2643
2247,2675
2271,2709
2299,2751
2329,2792
2356,2828
2380,2860
2409,2902
2445,2945
2475,2988
2505,3026
2536,3066
2574,3118
2610,3164
2639,3204
2672,3252
2704,3292
2738,3341
2768,3383
2795,3418
2820,3453
2847,3497
2872,3539
2906,3587
2943,3637
2976,3683
3002,3721
3041,3772
3070,3812
3098,3849
3121,3880
3149,3921
3176,3961
3207,4001
3234,4037
3264,4076
3293,4127
3314,4160
3342,4200
3381,4250
3406,4293
3441,4344
3471,4389
3500,4433
3535,4479
3566,4529
3593,4574
3616,4612
3643,4663
3673,4715
3702,4762
3732,4804
3760,4847
3788,4890
3818,4932
3852,4979
3879,5020
3914,5069
3944,5109
3975,5156
4011,5202
4034,5233
4066,5277
4087,5320
4118,5365
4145,5410
4170,5451
4205,5503
4244,5557
4280,5611
4309,5660
4348,5713
4381,5761
4418,5813
4454,5863
4483,5907
4508,5952
4539,5998
4568,6045
4597,6092
4632,6150
4663,6198
4686,6238
4720,6286
4751,6328
4780,6376
4817,6438
4846,6481
4875,6523
4899,6566
4926,6608
4960,6660
4996,6719
5017,6752
5040,6808
5067,6851
5093,6896
5125,6947
5157,6992
5184,7033
5209,7069
5248,7128
5275,7172
5310,7226
5350,7286
5381,7331
5412,7377
5446,7435
5480,7489
5522,7551
5557,7604
5592,7658
5634,7719
5661,7762
5694,7809
5735,7865
5769,7918
5808,7975
5845,8030
5876,8073
5911,8128
5946,8183
5985,8242
6018,8290
6055,8351
6091,8406
6136,8468
6172,8525
6210,8587
6253,8652
6283,8706
6332,8768
6373,8823
6421,8897
6463,8958
