insertCollisions, searchCollisions
0,0
0,0
0,0
0,0
1,1
2,2
2,2
4,5
4,5
4,5
7,10
7,10
9,13
11,17
16,28
20,32
20,33
21,34
23,38
25,41
26,46
29,50
33,56
33,59
35,61
37,69
39,71
41,77
46,85
51,92
55,100
61,111
70,122
74,126
79,133
84,139
91,146
99,156
103,162
106,169
111,176
118,185
122,191
122,193
126,197
130,205
137,215
139,220
142,224
151,236
158,247
162,253
165,257
169,264
175,275
185,290
193,301
198,309
206,318
214,331
221,340
228,353
234,363
235,366
247,381
257,393
265,405
273,416
281,430
287,449
297,464
307,479
320,497
329,507
339,522
352,540
367,561
378,572
385,581
394,597
399,608
411,622
418,632
431,651
442,667
447,676
457,693
463,705
471,719
478,731
493,753
504,769
513,785
521,797
532,810
541,823
548,838
560,856
573,874
582,886
597,907
606,926
610,941
620,962
635,983
647,1001
661,1028
677,1051
688,1071
699,1088
716,1111
726,1128
740,1152
752,1169
765,1190
780,1215
793,1243
811,1269
827,1295
841,1315
857,1344
874,1370
893,1396
903,1412
914,1436
923,1453
936,1476
950,1497
963,1522
973,1543
986,1567
1004,1590
1017,1610
1035,1639
1046,1662
1064,1687
1078,1712
1096,1737
1111,1764
1131,1796
1144,1815
1161,1844
1180,1872
1204,1904
1218,1925
1235,1954
1256,1985
1273,2013
1286,2041
1301,2064
1319,2088
1335,2115
1350,2142
1370,2170
1384,2191
1401,2226
1426,2264
1443,2290
1458,2315
1475,2344
1498,2376
1520,2411
1534,2431
1549,2462
1569,2497
1589,2529
1609,2566
1629,2602
1642,2627
1659,2655
1675,2684
1685,2707
1697,2732
1716,2766
1738,2798
1756,2830
1773,2860
1794,2897
1814,2938
1833,2972
1854,3009
1878,3046
1901,3078
1926,3122
1941,3156
1960,3193
1977,3228
1998,3260
2017,3289
2033,3316
2054,3355
2071,3388
2093,3429
2112,3463
2132,3504
2159,3537
2184,3579
2211,3618
2243,3663
2263,3700
2288,3733
2307,3769
2324,3795
2357,3843
2383,3885
2410,3926
2433,3964
2458,4004
2480,4038
2506,4080
2523,4117
2540,4159
2564,4199
2586,4241
2607,4283
2629,4325
2663,4375
2687,4417
2711,4463
2730,4499
2761,4545
2789,4592
2818,4636
2843,4671
2867,4711
2897,4757
2924,4811
2953,4855
2976,4898
3004,4948
3030,4991
3051,5025
3067,5062
3095,5106
3122,5153
3141,5189
3170,5236
3194,5273
3223,5321
3247,5357
3270,5394
3301,5446
3325,5483
3352,5524
3382,5572
3416,5625
3452,5684
3481,5727
3503,5769
3524,5814
3560,5867
3584,5908
3608,5953
3639,6003
3664,6051
3700,6104
3724,6147
3750,6191
3794,6256
3809,6294
3834,6341
3868,6397
3899,6453
3932,6509
3963,6554
3990,6604
4018,6653
4042,6699
4075,6760
4099,6805
4130,6864
4162,6918
4199,6977
4232,7032
4265,7085
4296,7139
4324,7192
4352,7243
4382,7301
4416,7357
4444,7402
4472,7459
4492,7498
4521,7547
4553,7597
4576,7645
4609,7702
4644,7758
4674,7815
4703,7865
4733,7924
4770,7983
4801,8039
4838,8103
4872,8159
4907,8214
4942,8272
4972,8324
5003,8373
5035,8433
5071,8495
5099,8547
5125,8605
5160,8665
5190,8719
5219,8781
5255,8843
5281,8897
5305,8946
5335,8998
5364,9062
5392,9112
5425,9176
5458,9232
5492,9289
5531,9363
5560,9420
5592,9483
5625,9542
5662,9603
5691,9659
5726,9719
5770,9792
5804,9853
5835,9913
5864,9969
5898,10038
5934,10108
5970,10166
6002,10218
6025,10265
6062,10333
6097,10392
6131,10456
6171,10526
6202,10591
6237,10666
6271,10740
6301,10799
6339,10870
6383,10929
6416,11000
6446,11059
6484,11127
6524,11203
6550,11259
6587,11327
6619,11396
6651,11451
6688,11516
6720,11578
6754,11634
6797,11708
6834,11778
6873,11849
6919,11921
6952,11982
6990,12041
7031,12113
7070,12185
7114,12265
7154,12331
7194,12401
7228,12470
7257,12534
7290,12598
7323,12660
7354,12723
7398,12802
7439,12866
7470,12928
7499,12986
7539,13052
7585,13126
7629,13203
7666,13277
7704,13348
7743,13418
7779,13486
7819,13559
7855,13629
7883,13692
7923,13761
7964,13836
8006,13902
8044,13969
8074,14040
8110,14113
8152,14191
8194,14271
8227,14331
8268,14400
8308,14475
8342,14549
8381,14623
8416,14697
8463,14776
8505,14850
8542,14923
8587,15007
