insertCollisions, searchCollisions
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
2,2
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
7,7
7,7
10,10
11,11
14,14
17,19
21,23
25,27
29,31
33,35
37,39
43,46
47,52
52,57
59,64
67,73
78,84
85,95
93,105
109,121
115,128
123,139
131,148
145,163
159,178
170,197
183,211
197,226
211,243
224,260
247,288
262,308
279,332
304,359
320,382
340,405
360,432
391,468
409,499
436,537
454,562
471,587
497,619
515,642
531,667
556,701
591,745
617,781
651,825
678,858
713,900
750,952
774,990
805,1028
835,1080
865,1119
901,1162
939,1216
982,1268
1010,1312
1053,1369
1082,1418
1110,1462
1141,1511
1178,1561
1208,1612
1243,1659
1275,1708
1314,1765
1350,1820
1389,1886
1421,1941
1463,1997
1503,2052
1544,2110
1581,2162
1625,2230
1660,2283
1697,2343
1746,2414
1790,2471
1843,2546
1884,2604
1919,2658
1950,2707
1986,2763
2032,2828
2077,2887
2121,2948
2166,3018
2204,3065
2249,3134
2286,3190
2331,3256
2364,3310
2403,3374
2432,3422
2477,3492
2510,3546
2537,3596
2567,3647
2600,3691
2639,3751
2681,3818
2720,3885
2755,3943
2800,4018
2840,4081
2883,4149
2914,4205
2955,4273
2990,4338
3027,4404
3070,4471
3121,4535
3154,4594
3187,4653
3223,4707
3266,4772
3302,4833
3351,4899
3395,4971
3435,5042
3473,5103
3510,5166
3552,5231
3585,5286
3628,5348
3654,5398
3686,5452
3730,5528
3763,5587
3802,5641
3835,5701
3871,5766
3903,5822
3940,5893
3980,5965
4017,6030
4059,6096
4102,6159
4145,6228
4187,6296
4225,6352
4266,6413
4303,6488
4332,6544
4367,6601
4406,6668
4440,6727
4478,6793
4514,6857
4548,6916
4579,6981
4617,7035
4658,7109
4700,7171
4740,7243
4782,7308
4822,7381
4861,7454
4898,7518
4937,7585
4974,7654
5015,7723
5059,7787
5092,7842
5126,7901
5166,7974
5202,8045
5243,8115
5275,8169
5314,8245
5350,8307
5381,8363
5421,8432
5456,8499
5502,8571
5544,8643
5590,8716
5628,8787
5666,8866
5708,8930
5751,8997
5797,9068
5841,9145
5887,9221
5922,9292
5956,9368
5987,9433
6027,9499
6068,9569
6109,9635
6147,9715
6176,9774
6213,9852
6261,9926
6314,10003
6354,10078
6387,10149
6423,10217
6458,10284
6507,10370
6547,10449
6589,10522
6629,10592
6673,10665
6711,10734
6755,10821
6806,10903
6851,10990
6894,11066
6930,11128
6972,11207
7017,11296
7054,11363
7112,11456
7169,11536
7213,11625
7262,11708
7313,11795
7354,11872
7406,11950
7458,12042
7503,12128
7564,12222
7613,12308
7671,12400
7720,12477
7775,12577
7835,12674
7888,12766
7944,12858
8003,12954
8067,13050
8110,13147
8167,13238
8221,13330
8283,13430
8336,13519
