insertCollisions, searchCollisions
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
4,4
5,6
5,6
6,7
6,9
7,11
9,13
11,15
13,17
16,21
17,24
19,28
19,29
24,35
28,40
30,46
31,49
36,54
36,58
38,61
43,67
44,69
50,76
54,83
58,89
63,96
64,100
67,104
70,110
78,118
82,123
89,131
94,140
99,148
102,153
111,164
119,173
125,182
132,190
138,197
146,206
154,217
160,229
165,237
170,245
175,255
183,266
192,278
201,290
212,304
219,313
230,327
236,341
240,349
243,360
253,372
267,389
277,406
283,415
294,428
304,440
310,451
319,467
324,477
330,489
341,506
345,515
354,526
360,538
367,550
375,563
385,574
397,594
404,605
416,624
429,642
439,655
458,677
466,693
478,705
492,724
501,741
511,758
521,778
530,793
537,807
546,817
558,836
567,855
577,873
587,888
598,903
608,919
620,938
638,962
649,977
660,997
671,1016
687,1044
697,1062
711,1079
727,1103
738,1124
746,1141
757,1159
771,1179
781,1192
799,1218
810,1236
826,1261
839,1282
850,1301
869,1329
878,1347
887,1360
903,1384
914,1406
927,1430
939,1448
954,1473
965,1494
982,1519
988,1536
1004,1561
1025,1592
1035,1613
1056,1646
1070,1667
1085,1699
1100,1724
1118,1756
1134,1781
1155,1811
1173,1839
1187,1861
1207,1898
1215,1919
1236,1959
1254,1986
1275,2017
1299,2054
1311,2077
1332,2111
1353,2144
1372,2171
1390,2201
1406,2229
1425,2256
1449,2291
1480,2330
1496,2364
1513,2388
1537,2422
1556,2455
1572,2486
1599,2522
1617,2554
1637,2586
1657,2621
1674,2659
1689,2687
1703,2726
1720,2754
1736,2781
1760,2815
1786,2853
1812,2893
1836,2928
1859,2962
1882,2999
1896,3027
1917,3058
1944,3104
1972,3145
1993,3176
2015,3213
2030,3246
2047,3275
2064,3311
2076,3336
2105,3378
2120,3408
2139,3441
2162,3486
2185,3523
2206,3558
2231,3598
2257,3634
2273,3669
2298,3708
2326,3756
2340,3781
2364,3821
2391,3860
2408,3898
2431,3937
2454,3977
2481,4024
2502,4059
2522,4088
2542,4122
2571,4174
2596,4219
2619,4254
2632,4282
2655,4323
2680,4364
2703,4402
2729,4447
2749,4493
2783,4550
2802,4586
2823,4621
2846,4660
2874,4706
2905,4751
2935,4799
2958,4844
2983,4890
3006,4928
3033,4970
3058,5019
3082,5061
3107,5105
3128,5147
3155,5193
3180,5240
3194,5275
3218,5317
3254,5368
3285,5419
3306,5463
3330,5505
3362,5561
3386,5603
3414,5653
3447,5704
3476,5751
3504,5801
3525,5839
3545,5882
3574,5933
3592,5976
3613,6012
3640,6061
3670,6109
3687,6146
3715,6193
3744,6239
3768,6293
3801,6352
3827,6400
3861,6451
3895,6506
3919,6556
3950,6606
3983,6656
4011,6706
4035,6755
4063,6809
4088,6859
4120,6915
4142,6965
4181,7027
4210,7087
4237,7137
4275,7194
4304,7241
4329,7295
4368,7358
4389,7403
4419,7455
4444,7499
4466,7541
4488,7590
4516,7645
4543,7701
4573,7755
4601,7797
4634,7855
4666,7912
4700,7969
4727,8025
4764,8085
4789,8141
4829,8202
4859,8253
4888,8305
4923,8359
4956,8411
4988,8469
5015,8525
5050,8578
5079,8642
5102,8690
5129,8744
5153,8798
5185,8854
5212,8907
5243,8966
5269,9020
5307,9081
5343,9143
5378,9202
5405,9267
5444,9335
5478,9394
5511,9456
5542,9515
5573,9576
5609,9641
5645,9704
5682,9767
5713,9822
5745,9880
5784,9942
5811,9994
5845,10052
5872,10099
5902,10156
5936,10219
5969,10277
5994,10336
6026,10406
6057,10464
6094,10526
6131,10592
6162,10650
6192,10705
6221,10773
6259,10842
6290,10897
6339,10977
6373,11039
6400,11098
6432,11150
6472,11216
6503,11285
6542,11356
6578,11421
6617,11486
6652,11559
6679,11620
6711,11678
6750,11749
6792,11825
6833,11890
6874,11964
6913,12036
6951,12111
6997,12187
7032,12251
7078,12331
7119,12399
7154,12461
7198,12530
7226,12580
7262,12646
7295,12705
7329,12769
7364,12839
7401,12900
7440,12971
7479,13048
7523,13129
7572,13220
7613,13287
7652,13356
7685,13417
7727,13493
7769,13570
7803,13641
7844,13716
7881,13788
7927,13869
7966,13941
8008,14012
8053,14089
8090,14157
8129,14233
8167,14307
8207,14383
8242,14457
8285,14529
8320,14595
8350,14657
8389,14735
8432,14809
8476,14880
8519,14958
8554,15023
8598,15101
