insertCollisions, searchCollisions
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
2,2
2,2
2,2
5,6
6,7
7,8
8,10
8,10
10,12
14,16
19,21
21,23
22,25
22,26
29,33
36,40
43,47
46,50
50,57
55,63
62,71
73,82
84,95
91,104
99,114
111,129
120,139
130,150
139,162
148,171
160,184
168,193
179,205
192,218
203,232
223,256
237,274
257,299
276,322
298,348
312,369
332,396
354,422
374,451
398,487
426,521
449,553
469,581
491,608
516,640
544,677
570,718
599,751
628,788
659,828
692,866
715,895
749,937
779,979
815,1024
841,1064
870,1106
894,1142
931,1193
965,1231
997,1282
1025,1324
1055,1373
1096,1427
1138,1489
1173,1536
1214,1592
1252,1642
1281,1691
1315,1750
1350,1801
1385,1853
1420,1909
1461,1968
1507,2031
1543,2082
1581,2143
1617,2197
1656,2257
1681,2309
1713,2360
1754,2420
1797,2475
1838,2535
1868,2584
1906,2643
1937,2696
1977,2761
2029,2825
2072,2887
2113,2945
2154,3003
2193,3060
2233,3118
2272,3177
2315,3234
2359,3294
2391,3348
2430,3409
2470,3465
2504,3523
2548,3585
2585,3645
2619,3705
2655,3763
2696,3822
2736,3882
2771,3938
2806,3995
2841,4048
2880,4114
2918,4171
2952,4233
2989,4298
3035,4365
3075,4428
3117,4490
3152,4544
3196,4607
3243,4677
3286,4757
3331,4821
3368,4889
3407,4953
3442,5011
3481,5070
3518,5136
3550,5207
3583,5270
3623,5338
3667,5403
3702,5459
3738,5519
3787,5595
3819,5645
3859,5715
3892,5776
3928,5841
3963,5902
4002,5969
4033,6016
4069,6085
4105,6147
4137,6207
4177,6268
4223,6329
4255,6390
4295,6468
4334,6537
4374,6605
4415,6681
4456,6755
4488,6820
4518,6876
4549,6944
4588,7005
4628,7060
4665,7123
4702,7196
4742,7261
4777,7325
4820,7399
4853,7458
4892,7532
4931,7600
4975,7671
5017,7740
5051,7805
5089,7873
5115,7927
5157,8001
5197,8063
5226,8122
5264,8184
5308,8258
5352,8338
5388,8400
5431,8471
5473,8545
5517,8616
5564,8686
5600,8750
5632,8812
5672,8883
5704,8953
5739,9022
5782,9097
5821,9172
5856,9245
5896,9319
5936,9388
5972,9448
6014,9517
6056,9595
6094,9667
6124,9735
6155,9792
6199,9864
6244,9938
6276,10002
6305,10070
6337,10136
6371,10213
6415,10283
6452,10348
6491,10421
6526,10493
6571,10568
6611,10640
6656,10718
6707,10800
6747,10869
6790,10951
6829,11026
6876,11106
6932,11190
6978,11271
7029,11349
7080,11425
7118,11502
7163,11580
7211,11656
7260,11731
7320,11827
7372,11914
7415,11995
7464,12083
7511,12166
7564,12250
7613,12336
7667,12423
7727,12513
7791,12615
7849,12710
7904,12805
7964,12899
8014,12997
8075,13091
8128,13190
8191,13287
8247,13383
